key,traittype,trait,stats,title,creator,comment,copies,language
CreoL15Q14,Art,Creo      , L15Q14 ,"Growing, Healing, and Creation",,,1,
IntellegoL15Q13,Art,Intellego , L15Q13 , Investigatione,Perceptivus of Guernicus,,,
RootMuto,Art,Muto      , L6Q20  , Transitiones , , Root of the art ,1,
RegoL10Q13,Art,Rego,L10Q13, The Kingly Art , Etimarian ex Tremere, ,1,
RootRego,Art,Rego      , L7Q19  , Wizard in Charge , Reginius Savus ex Bonisagus , Root of the art , 1,
AnimalL15Q14,Art,Animal, L15Q14 , The Beings of Eden , Victoria of Merinita , ,1,
AquamL7Q18,Art,Aquam,L7Q18,The Element of Water,,Root of the art,1,
AuramL6Q19,Art,Auram, L6Q19  , The Element of Air , Tempestina of Merinita , Root of the art ,1,
RootCorpus,Art,Corpus    , L6Q21  , The Basics of the Human Body , Hipolyta of Bonisagus , Root of the art ,1,
CorpusQ11Bonaventure,Art,Corpus    , Q11    , Motion of Man , Bonaventure of Mercere , Tractatus ,1,
CorpusQ9Sebastian,Art,Corpus    , Q9     , Some more thoughts on the body ,  Sebastian ex Bonisagus , Tractatus ,1,
RootHerbam,Art,Herbam, L6Q21,Roots First,Horatio of Bonisagus,"Root of the art.  Written by a Diedne magus, this book was saved during the Schism book, and a clever magus recognising its quality rebound it with a false cover sheet. It was widely copied and distributed and gained a reputation as a Root of the Art, and nobody seems to know its dark secret.",1,
RootIgnem,Art,Ignem     , L8Q15  , Burning for Beginners , Elaine of Flambeau , Root of the art ,1,
IgnemQ12Sakratus,Art,Ignem     , Q12    , Passion for Fire , Sakratus ex Flambau ,Traded from Lambaird.,1,
RootImaginem,Art,Imaginem  , L7Q19  ,Appearances,Apparatia of Jerbiton, Root of the art ,1,
MentemL16Q13,Art,Mentem    , L16Q13 , The Mind's Eye , Sophia of Jerbiton ,,1,
MentemQ14Maine,Art,Mentem    , Q14    , Hibernian Musings on the Hermetic Arts - Volume 8 Mentem , Maine Chleitigh ex Bonisagus , ,1,
TerramL11Q10,Art,Terram    , L11Q10 , Artful Support to Mining , Concetta ex Verditius , ,1,
RootTerram,Art,Terram    , L8Q15  , Grounding , Agustus Terranus of Guernicus , Root of the art ,1,
VimQ9Serafinus,Art,Vim       , Q9     , Musings from the Edge of Twilight , Serafinus of Criamon , ,1,
MagicTheoryL5Q12,Ability,Magic Theory  , L5Q12  , New omnibus after Bonisagus , Unknown , ,1,
MaineMT,Ability,Magic Theory  , Q14    , Magic Theory in Relation to Talisman , Maine Chleitigh ex Bonisagus ,  ,1,
MT12Ibhan1,Ability,Magic Theory  , Q12    ,"Magic Theory in relation to scribing hermetic documents",Ibhan the scribe,  ,1,
MT12Ibhan2,Ability,Magic Theory  , Q12    ,"Laboratories, Familiars and Apprentices",Ibhan the scribe,  ,1,
KalliasQ11Finesse,Ability,Finesse, Q11, Fundamental Fast Casting,Kallias of Tremere,"Published only in 1209, one of the earliest works of the young Kallias, the noted Spell Master author of House Tremere. This copy is badly damaged, a gift Lucas brought with him from Lambaird.",1,
ElainePenetration2,Ability,Penetration   , Q11    ,Fire through the Parma , Elaine of Flambeau ,,1,
CodeQ11Caelus,Ability,Code of Hermes , Q11   , Wizard's War.  The Most Notable Cases. , Caelus of Flambeau ,"With a dedication to Lugardis from her pater,Justitiaan of Magvillus, dated 1158",1, 
,Ability,Isle of Mann Lore , Q6     , The Calamity of Mann , Uther Aix ex Tytalus ,"Uther Aix was the one surviving magus from the last attempt to found a covenant on the Isle of Mann. He wrote down the little he got a chance to see on the island. The last chapter is, unsurprisingly, an apocalyptic horror story. This last chapter is quite a good read, just not very educational.  Evidently, Uther was a better storyteller than teacher.",1,
inventione,Ability,Artes Liberales, Q14   , De inventione                         , Priscian ,"Comprised of three tractatus of the same quality - Cherished item",1,
,Ability,Artes Liberales, Q6    , , , ,1,
,Ability,Church Lore         , L3Q3   , The Bible                     , Various Authors   ,              ,1,
,Ability,Intrigue            , Q9     ,                                 ,                   ,              ,1,
LeadershipQ6,Ability,Leadership          , Q6     ,                                 ,                   ,              ,1,
MedicineL3Q12,Ability,Medicine            , L3Q12 , Causes And Cures (Causae Et Curae), Hildegard von Bingen ,,1,
